"","gene_names_ApoE_WT","ApoE.2","ApoE.3","ApoE.4","ApoE.5","ApoE.6","WT.1","WT.2","WT.3","WT.5","WT.6","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1761","Apoe",828.532310368893,403.924209549777,501.816761866138,499.490478600507,943.828374847287,21195.2601422757,18569.4261648019,15694.6823985141,15385.7343034026,22737.5886272374,9676.02837714642,-4.87966693053578,0.252823118371655,-19.3007149107408,5.29712669336949e-83,9.377503385272e-79
"2963","Ccdc61",136.139885675534,155.786011535364,131.959222564799,160.077671455102,138.98531410167,314.69454156802,258.500036686564,312.901808276123,302.856145778878,310.169698993919,222.207033663597,-1.05559443269543,0.116324518678363,-9.07456523086203,1.14132237230186e-19,1.01024149784299e-15
"3916","Cry1",337.426465109912,346.087486704312,330.82734671175,370.706186527605,378.803110982982,621.618847541767,988.382493213332,990.658932617612,1003.81294961338,1024.68603529014,639.30098543128,-1.3921189894023,0.155296578529654,-8.96426053028901,3.1236973150878e-19,1.84329378563331e-15
"3790","Corin",104.401752818661,126.867650112632,107.797674771244,110.730419352401,113.550093220318,290.412555335919,225.04709076242,302.274954410141,238.646362221519,234.418683398045,185.41472364033,-1.19557519083608,0.140814284432739,-8.49043969972489,2.05856746857987e-17,9.11070497406736e-14
"6901","Gpr88",198.78093736673,164.181664851641,533.412632057709,152.856122366902,242.5429991186,17.4830300871122,25.3431408516239,37.7843693012677,21.4032611857865,29.6862088145995,142.347436600197,3.29875053558248,0.393520443255175,8.38266624294135,5.17420386602252e-17,1.83197862080393e-13
"14863","Timp1",1352.2115025073,2014.02394553803,3631.66649143123,775.11293546681,3114.90615721977,253.503936263127,337.57063614363,252.682969702228,333.890874498269,266.152216958479,1233.17216657289,2.91486286718732,0.364388673095336,7.99932347629448,1.25104660882059e-15,2.76840976449386e-12
"15386","Trim24",2657.65101975183,2345.18582634674,2655.91167669152,2337.37472154743,2496.28524935548,3717.08645240991,4079.23195147738,4091.33873840289,3634.27374934654,4389.46425506906,3240.38036403988,-0.67219066900156,0.0839073826080708,-8.01110281488991,1.13684355946941e-15,2.76840976449386e-12
"16024","Vmn2r29",49.2776273304079,97.0164383214245,82.7068366779375,81.8442229996011,57.2292469830405,226.308111683175,247.349054711849,306.9980005728,245.067340577255,199.614162718859,159.341104257635,-1.73847341007397,0.217250385944893,-8.00216488690127,1.22250528113543e-15,2.76840976449386e-12
"13449","Slc1a5",6863.78883731004,5469.30171037031,5086.00581054328,6115.44848619078,7919.43770155789,16434.0482818855,17794.9397803762,13851.5136335366,12077.8602871393,19190.5985050792,11080.2943033989,-1.33495809522624,0.174371924522775,-7.65580869099074,1.92099517265862e-14,3.40073775415755e-11
"3006","Ccl2",189.593583118688,194.965727011324,164.484383056123,111.934010867101,287.054635660965,46.6214135656326,49.6725560691828,29.5190385166154,25.6839134229437,51.1831186458613,115.071237993444,2.22350256644892,0.301467496295371,7.3755963537455,1.63611019891157e-13,2.41367157094429e-10
"7906","Itgax",315.71090052363,1074.64362448347,1866.94421220198,155.263305396302,2230.12383084705,70.9033997977328,75.0156969208067,42.5074154639261,23.5435873043651,50.159456272944,590.481542921221,4.4271902270647,0.607424609092663,7.28846042915151,3.13516945793219e-13,4.26937730105951e-10
"13167","Serpina3n",7106.83611787188,7096.19275299112,9470.39744477372,3596.33144592365,14081.1199600652,1443.32126163604,1954.46302247723,1248.0649484825,1456.49192369277,2168.11690583868,4962.13357837528,2.32186707359774,0.321112364738354,7.23069968199333,4.80511893210698e-13,6.07607288964928e-10
"3938","Csf2rb2",1114.17550608075,1179.1228657527,1866.94421220198,1450.32777521352,986.523209898126,514.778108120526,555.521647467596,591.561531872972,481.573376680195,463.719054931503,920.424728821987,1.33933501574585,0.187520560723663,7.14233687536562,9.17573798052277e-13,1.0829205964613e-09
"5700","Fgr",188.758369096139,263.996654278492,394.948377394645,97.4909126907013,400.604728881283,57.3054875077567,45.617653532923,29.5190385166154,41.7363593122836,28.6625464416823,154.864012765252,2.72866168685608,0.38847154432575,7.0240966853623,2.15455579055771e-12,2.3838813225152e-09
"6957","Grin2a",73.4988339843373,95.150737584474,842.866301875161,63.7903502791008,242.5429991186,8.7415150435561,4.05490253625982,3.54228462199384,9.6314675336039,13.3076108479239,135.712700342501,5.06463361046116,0.724570230836088,6.98984500731838,2.75190087907633e-12,2.86570007425225e-09
"5105","Epb4.1",4146.83762195721,4280.85034093286,3632.59578173099,4486.98916680166,4701.88226006695,6446.38170489799,6337.8126641741,7023.16964387313,6768.78135000497,7807.47291823968,5563.27734526795,-0.694378601421956,0.100294068874525,-6.92342637220824,4.40848322987739e-12,4.33574325658442e-09
"1689","Anxa8",562.934251198219,768.668703623594,1813.04537481636,322.562525939604,1330.80709254213,183.571815914678,115.564722283405,115.714630985132,126.27924099614,168.904291531342,550.805264983061,2.75623209536684,0.408850872062361,6.74141180490483,1.56854937602982e-11,1.46147524230821e-08
"13721","Slitrk4",5.84649815784501,2.79855110542571,3.71716119900843,2.40718302940003,1.81680149152509,33.0235012756564,30.4117690219487,31.8805615979446,34.2452178972583,17.4022603395928,16.3549505115605,-3.11724302955785,0.471199105513458,-6.61555379261818,3.70163346808934e-11,3.27650086427928e-08
"15210","Tnfrsf9",96.8848266157173,59.7024235824151,202.585285345959,25.2754218087003,113.550093220318,13.5979122899762,10.1372563406496,7.08456924398769,7.49114141502526,6.14197423750335,54.2450904100252,3.48226542881589,0.532085028598332,6.54456570219463,5.96685280334342e-11,5.0300569132185e-08
"3143","Cd72",130.293387517689,270.526606857818,473.008762573822,72.2154908820009,398.787927389758,40.7937368699285,34.4666715582085,34.2420846792738,28.8944026008117,35.8281830521029,151.905725398141,2.94851912953651,0.452784145959931,6.51197520020376,7.41689669053220e-11,5.96824191420416e-08
"8373","Lcn2",817.674528075752,567.173024032943,1954.29750037868,392.370833792205,1445.26558650821,152.49087353759,197.676498642666,178.294992640357,164.805111130556,206.77979932928,607.682874806824,2.52424544316892,0.388554752721264,6.49649869288752,8.22108298256647e-11,6.32773182784235e-08
"5289","F5",464.378996537404,574.635826980745,1298.21854875369,302.101470189704,1083.72208969472,141.806799595466,112.52354538121,125.160723310449,162.664785011977,166.856966785508,443.206975224087,2.39281965072797,0.369061849321911,6.483519375206,8.96073645602643e-11,6.6096632283765e-08
"3257","Cdkn1c",520.338336048206,523.329056714607,498.099600667129,539.208998585607,680.392158576148,1339.39436056265,1632.09827084458,1078.03528662679,908.568437336635,1133.19424681937,885.265875278172,-1.14152636270187,0.17756067107035,-6.42893697022351,1.2849939164843e-10,9.09929892140864e-08
"3137","Cd5l",133.634243607886,1752.82584236497,5180.793421118,25.2754218087003,9136.6947008797,4.85639724642006,8.10980507251965,2.36152308132923,40.6661962529943,10.2366237291723,1629.54541751617,7.9369270061254,1.24736066597512,6.36297682188073,1.97880561468163e-10,1.34733829987342e-07
"11689","Prg4",1254.49146186903,2093.31622685843,2388.27607036291,493.472521027007,2703.40061938934,279.728481393795,355.817697556799,330.613231386092,264.330275644463,431.985521371069,1059.54321068589,2.42595785951217,0.381729793317669,6.35517033770883,2.08195786053314e-10,1.36507037055623e-07
"14125","Spp1",7709.86064215247,19092.6484915826,30397.0857048914,4249.88163840576,37006.4295808747,254.475215712411,902.21581431781,3072.34152880933,1089.42599435653,1008.30743732347,10478.2672048426,3.96006439406587,0.629389503257748,6.29191362990389,3.13575954424616e-10,1.9142190073031e-07
"9419","Mmp12",329.909538906968,2122.23458828116,3131.7083101646,110.730419352401,4780.91312494829,48.5639724642006,65.8921662142221,61.39960011456,50.2976637865982,13.3076108479239,1071.49569950809,5.45138391658046,0.868801609810641,6.27460153736204,3.50530818280017e-10,1.97235500318558e-07
"12304","Rbmx",1834.12999351823,1810.66256521043,1736.84357023669,2050.91994104883,1903.09956237254,2650.62161709607,2459.29838824158,2405.21125833382,2489.19927590696,2536.63536008888,2187.6621532054,-0.426786819513046,0.0680426696500246,-6.27234089591444,3.55659818227651e-10,1.97235500318558e-07
"12310","Rbp7",486.094561123685,327.430479334808,327.110185512742,399.592382880405,405.146732610096,773.138441630073,1088.74133098576,1093.38518665543,667.781748996537,1333.83207191114,690.225312164069,-1.34908974931884,0.215098474800087,-6.2719633441041,3.56523527661631e-10,1.97235500318558e-07
"11356","Pln",849.412660932625,1014.94120090106,784.321012990778,936.394198436612,786.675045830366,1957.12809030728,1420.229613325,1754.61164942762,1436.15882556627,1397.29913903201,1233.71714367496,-0.865886778375256,0.13909441185657,-6.22517300887781,4.81024901715245e-10,2.58047995001969e-07
"3937","Csf2rb",2711.93993121754,1960.85147453495,2546.25542132077,2327.74598942983,2419.97958671143,1635.63459259428,1439.49040037224,1272.86094083645,1170.75838686252,1236.58414648401,1872.2100870364,0.824786415293985,0.132709058299617,6.21499712123542,5.13255908964177e-10,2.67240275188024e-07
"14267","Stac2",63.4762657137458,92.3521864790483,197.009543547447,38.5149284704005,147.160920813533,19.4255889856802,10.1372563406496,15.34990002864,3.21048917786797,8.1892989833378,59.4826378540349,3.25771596727307,0.528863196176128,6.159846234012,7.28156124422872e-10,3.68301367733089e-07
"5684","Fgf18",40.0902730823658,81.1579820573455,65.0503209826475,61.3831672497008,68.1300559321911,14.5691917392602,12.1647076087795,20.0729461912984,14.9822828300505,25.5915593229306,40.319248699657,1.85573649831479,0.303746993933673,6.10948103315227,9.99556334898208e-10,4.91531827686194e-07
