gene_names,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Exp.1.Basal,Exp.1.TW.100,Exp.2.Basal,Exp.2.TW.100,Exp.4.Basal,Exp.4.TW.100
Birc3,3611.147466,2.147826021,0.142141665,15.11046055,1.38E-51,1.59E-48,1258.449147,4459.585276,1448.508056,6698.028678,1236.197181,6566.116457
Syt13,447.4488542,3.55496417,0.235412797,15.10098095,1.60E-51,1.63E-48,27.55009861,445.4365317,137.6837084,1115.438566,64.51728062,894.0669398
Tnfaip3,2492.765832,1.917501895,0.126992024,15.09938843,1.63E-51,1.63E-48,1211.220407,4604.004152,961.8998806,3189.794479,944.7173234,4044.958751
Rrad,881.3055256,1.979693027,0.138073602,14.33795451,1.27E-46,1.19E-43,292.2278317,1234.520388,453.6018065,1716.336116,328.3468746,1262.800137
Traf1,529.0194987,2.566698121,0.179707964,14.28260639,2.81E-46,2.48E-43,108.2325303,685.554662,245.1901657,1194.598722,118.6657126,821.8751993
Enpp2,770.4154134,2.237402916,0.157552117,14.20103363,9.03E-46,7.52E-43,184.9792335,838.6734698,235.7597747,1319.635787,397.4725324,1645.971683
Serpina3i,342.3246045,3.155286346,0.225099516,14.01729514,1.22E-44,9.65E-42,15.74291349,130.4989839,122.5950828,941.8259503,70.27775211,773.0069442
Col22a1,201.5346533,3.758017224,0.271949208,13.81882025,1.96E-43,1.47E-40,26.56616652,306.2376155,32.06332935,532.5319605,23.04188594,288.7669619
Ccl20,278.3280402,4.362839252,0.316408663,13.78862136,2.98E-43,2.13E-40,24.59830233,388.886972,34.89244665,504.6459963,16.12932016,700.8152038
Kcnn3,325.8675175,3.211891525,0.234663464,13.68722455,1.21E-42,8.26E-40,76.74670327,504.596071,46.20891584,476.7600322,65.66937492,785.224008
H2-Q4,1356.768164,1.887300198,0.143938288,13.11187053,2.82E-39,1.84E-36,446.7051703,1560.767847,830.8174459,2713.034447,473.510756,2115.773317
Gbp3,2522.932725,2.068968701,0.158584795,13.04645068,6.66E-39,4.16E-36,904.2335936,3498.242761,651.6400172,3663.85587,1453.943003,4965.681103
Gjb5,1602.646161,1.68963471,0.131580911,12.84103214,9.66E-38,5.80E-35,625.7808113,2306.352042,870.4250881,2737.322222,789.1845934,2286.81221
Vegfc,2191.976374,1.619963309,0.127450371,12.71054213,5.17E-37,2.98E-34,631.6844038,1943.564867,1575.818334,4297.13712,1051.862093,3651.791426
Hist1h1a,2878.32133,1.628723242,0.128971224,12.62857863,1.47E-36,8.16E-34,911.1211183,3225.934882,2318.933144,6183.487662,1116.379374,3514.071798
Oasl2,3406.150697,1.546098701,0.122570521,12.61395226,1.77E-36,9.48E-34,1072.485982,3494.762789,2069.027782,6187.985399,2138.287015,5474.355213
Ifi47,3183.197869,1.390499693,0.110879552,12.54063226,4.47E-36,2.31E-33,1508.367899,3730.530953,2159.559536,5794.883259,1589.89013,4315.955439
Nckap5,214.8709912,3.40069204,0.274405583,12.39294043,2.85E-35,1.43E-32,19.67864186,213.1483404,56.58234592,439.8785957,35.7149232,524.2231001
Hist1h1b,3274.685091,1.552875175,0.12615118,12.30963658,8.04E-35,3.89E-32,1110.859333,3821.880242,2496.224494,6766.394268,1467.768134,3984.984075
Nfkbia,5962.47269,1.645552139,0.134691135,12.2172268,2.52E-34,1.18E-31,2151.859488,7243.563599,4157.859386,10528.30079,2542.672113,9150.580767
Angptl4,4337.716695,1.69068053,0.139518917,12.11793043,8.49E-34,3.86E-31,668.0898913,1773.916188,2457.559891,7799.974036,2690.140183,10636.61998
Iqgap3,4405.565125,1.532786511,0.12725334,12.04515745,2.06E-33,9.08E-31,2193.184636,6216.101599,2750.845051,6927.413222,1896.347213,6449.49903
Rtp4,2255.299659,1.413867744,0.117770866,12.00524196,3.33E-33,1.43E-30,794.0331992,2202.822848,1573.932256,4371.79954,1328.364724,3260.845385
Scube3,408.794067,2.22688633,0.186204898,11.9593327,5.80E-33,2.42E-30,220.4007889,1205.810611,94.30390987,392.2025925,100.2322038,439.8142959
Ccl9,2683.060544,2.296417283,0.193222673,11.88482305,1.42E-32,5.76E-30,1468.026683,4610.094104,811.956664,4786.490813,595.6327515,3826.162246
Hist1h2bm,1390.145338,1.503279911,0.127042369,11.8329021,2.64E-32,1.04E-29,470.3195405,1430.268863,996.7923273,2867.756571,714.2984641,1861.436262
Ifi44,1139.153828,1.791417205,0.152544489,11.74357207,7.62E-32,2.93E-29,532.3072624,1776.526167,299.8864334,1282.754351,747.7091987,2195.739553
Pcsk5,2321.951659,-1.355966989,0.115840062,-11.70550984,1.19E-31,4.48E-29,4407.031845,1831.335741,2523.572628,928.3327419,3053.049887,1188.387113
Dpt,2056.836857,1.644908553,0.14070143,11.6907735,1.42E-31,5.20E-29,817.6475694,3046.716277,1375.894045,4333.119009,769.5989903,1998.045248
Hist1h3a,1110.391024,1.474962137,0.12723539,11.59238899,4.50E-31,1.61E-28,461.4641517,1252.790245,778.9502955,2167.908826,520.7466222,1480.486001
Olfml2a,1287.051789,-1.453751343,0.125697413,-11.56548341,6.16E-31,2.15E-28,2624.146893,910.0129143,1614.482937,587.4043415,1432.053211,554.2104385
Melk,2169.899281,1.347125674,0.116526479,11.56068293,6.52E-31,2.22E-28,1223.027592,2927.527205,1337.229442,3406.585362,1114.075185,3010.950899
Comp,1987.889249,-1.413988341,0.122821927,-11.51250739,1.14E-30,3.80E-28,4217.132951,1747.816391,2479.24979,866.263983,1919.389099,697.4832773
Il2rg,592.7125227,1.845978576,0.160532817,11.49907296,1.33E-30,4.35E-28,167.2684558,543.7457662,413.0511252,1431.179644,194.7039362,806.3262091
Bub1b,4045.183659,1.244074943,0.109115575,11.40144241,4.11E-30,1.31E-27,2008.205402,4932.861591,2890.414837,7034.459343,2298.428122,5106.732657
Zfp36l1,2448.886219,1.376173409,0.121149702,11.3592802,6.67E-30,2.08E-27,941.6230132,2741.348655,1673.8944,4045.263896,1515.004,3776.183348
Irf1,3832.969767,1.258483573,0.111890097,11.24749734,2.38E-29,7.30E-27,1426.701535,3558.272294,3125.231573,6898.627711,2288.059274,5700.926214
Casp4,1511.993865,1.796179007,0.160023213,11.22449032,3.09E-29,9.28E-27,768.4509648,2142.793315,478.120823,2157.114259,811.074385,2714.409442
Psmb10,2986.140902,1.244849414,0.111147344,11.19999245,4.08E-29,1.20E-26,1173.830987,2786.588303,2523.572628,5709.426272,1644.038562,4079.388658
Psmb8,1769.366898,1.662980716,0.149832437,11.0989366,1.27E-28,3.66E-26,569.696682,1767.826235,1386.267475,3618.878508,661.3021264,2612.230363
Clca2,1996.426874,2.356792852,0.212870445,11.07148927,1.73E-28,4.88E-26,483.1106578,1458.108647,303.6585898,1940.323376,987.3448124,6806.015164
Cxcl16,4634.100975,2.101659106,0.190003324,11.06117019,1.94E-28,5.38E-26,1723.849027,4944.171503,2216.141882,9717.808731,1261.543255,7941.091453
Flrt3,1620.536769,2.116400044,0.191514214,11.05087709,2.17E-28,5.92E-26,1045.919815,2999.736643,286.683886,1600.294523,616.3704488,3174.215297
Pbk,2084.193107,1.340789767,0.123043886,10.89684183,1.19E-27,3.20E-25,1436.540856,3272.044523,1075.064572,2972.10405,1046.101622,2703.303021
Iigp1,1501.456804,1.749953999,0.161526508,10.83385023,2.38E-27,6.26E-25,616.9254224,1632.107292,354.5827011,1544.522595,1123.291939,3737.310873
C1qtnf3,2468.144788,-1.610127457,0.148800078,-10.82074336,2.75E-27,7.10E-25,7817.34048,3037.146352,933.6087077,324.7365502,2144.047486,551.9891541
Gfra2,531.6657318,1.738890708,0.160818398,10.8127598,3.00E-27,7.62E-25,271.5652577,843.0234359,308.3737853,990.4015008,162.4452959,614.1851152
Cpxm1,5240.284341,1.323721592,0.12253568,10.80274405,3.34E-27,8.35E-25,2284.69032,4990.281144,3587.320731,10265.63299,2942.448834,7371.332024
Ncapd2,5846.141051,1.148972233,0.106418991,10.79668419,3.57E-27,8.78E-25,3088.562841,7013.885387,4442.657194,9262.637832,3410.199119,7858.903933
Hist1h3g,874.8253016,1.671836711,0.155979301,10.71832417,8.35E-27,2.02E-24,301.0832205,1055.301783,611.0893359,1596.696334,368.670175,1316.110961
Ccna2,5452.448509,1.22568006,0.114727274,10.68342358,1.22E-26,2.90E-24,3590.368208,7831.67902,2941.338949,7720.813879,3286.925029,7343.56597
Exo1,1126.190601,1.378950495,0.129433295,10.6537541,1.67E-26,3.93E-24,610.0378978,1559.027861,645.0387435,1589.499956,619.8267317,1733.712414
Ccdc141,1871.456975,2.598282106,0.244684741,10.61889718,2.43E-26,5.62E-24,1109.875401,4241.216976,165.9748814,1964.611151,610.6099773,3136.453463
2810417H13Rik,4100.016664,1.391218577,0.131073368,10.61404461,2.56E-26,5.83E-24,2742.218744,6537.999093,1829.495851,5811.974656,2268.473671,5409.937967
Cenpf,2356.956054,1.198313833,0.112932837,10.61085389,2.65E-26,5.94E-24,2269.931339,5103.380263,571.4816938,1334.92809,1471.224417,3390.790518
Pole,3824.890435,1.162860841,0.110004787,10.5710022,4.06E-26,8.83E-24,2279.77066,5116.430162,2623.534773,5553.804601,2192.435447,5183.366967
Rtn4r,400.6763787,2.004303878,0.189587515,10.57191917,4.02E-26,8.83E-24,116.103987,372.3571007,185.7787024,865.3644357,164.7494845,699.7045616
Psd,760.3650479,1.534263367,0.145586123,10.53852756,5.74E-26,1.23E-23,261.7259368,845.6334156,462.0891584,1226.982422,458.5335302,1307.225824
Eln,39357.47034,-1.91456678,0.181754253,-10.53382108,6.03E-26,1.28E-23,112905.2238,38827.79767,37237.78489,11687.81717,30283.95069,5202.247883
Phf11d,1847.635484,1.399552704,0.134356068,10.41674353,2.08E-25,4.33E-23,777.3063536,1920.945043,1016.596148,3169.104893,1243.109746,2958.750718
Cxcl9,107.2827299,3.982402738,0.383822607,10.37563359,3.20E-25,6.58E-23,15.74291349,220.1082862,14.14558648,164.6171432,8.064660078,221.0177901
Col8a2,1493.11212,-2.399234083,0.232699773,-10.31042726,6.32E-25,1.28E-22,4898.997892,1541.627996,1042.058204,191.6035601,1155.55058,128.8344907
Kif23,2011.564642,1.506701184,0.14616014,10.30856417,6.45E-25,1.29E-22,1306.66182,3332.074055,617.6906096,2224.580301,1305.322838,3283.058229
Tmem35,1281.331113,1.483111653,0.144108142,10.29165762,7.68E-25,1.52E-22,811.7439769,2208.912801,803.4693121,1942.122471,441.2521157,1480.486001
Cdca2,1860.623167,1.26391531,0.122924996,10.28200408,8.49E-25,1.66E-22,1103.971809,2461.210836,1176.912795,2757.112261,1002.322038,2662.209261
Uhrf1,5039.426917,1.230007959,0.119667437,10.27855189,8.80E-25,1.69E-22,2822.901175,7026.935286,3979.624996,8122.011944,2337.599328,5947.488774
Spag5,2929.176843,1.111194641,0.108771402,10.21587125,1.68E-24,3.20E-22,1836.017286,3896.699659,2057.711313,4459.055622,1668.232542,3657.344637
Zbp1,920.2411048,1.983326844,0.194826979,10.17993943,2.44E-24,4.57E-22,70.84311071,432.3866333,748.7730443,2331.626421,425.1227955,1512.694624
Rasgrp2,334.4232415,-1.914780253,0.188194849,-10.17445622,2.58E-24,4.78E-22,320.7618624,94.82926163,816.6718595,192.5031073,457.3814359,124.3919221
Hist1h2bl,788.7992956,1.649778983,0.162765111,10.13594975,3.83E-24,7.00E-22,207.6096717,770.8139982,604.4880623,1542.7235,372.1264579,1235.034083
Sgol2,1898.339557,1.243701933,0.123203004,10.09473706,5.83E-24,1.05E-21,1641.198731,3532.172497,441.3422982,1115.438566,1347.950327,3311.934925
Kif2c,2914.021583,1.13330118,0.112501518,10.07365235,7.22E-24,1.29E-21,1536.90193,3459.96306,2302.901479,4728.020244,1660.167882,3796.174907
Brca1,2178.643382,1.633478461,0.162174027,10.07238023,7.32E-24,1.29E-21,1550.676979,3819.270262,500.7537614,2093.246405,1298.410273,3809.502613
Gjb3,1612.727891,1.474556992,0.146454089,10.0683907,7.62E-24,1.33E-21,597.2467806,1898.325219,985.4758581,2981.999069,994.2573782,2219.063038
Map3k14,2123.854865,1.310471296,0.130253155,10.06095626,8.22E-24,1.42E-21,843.2298039,2430.761073,1616.369015,3560.407938,1258.086972,3034.274385
Aspm,3522.492661,1.544100944,0.154060854,10.02266901,1.21E-23,2.07E-21,2741.234812,6408.370102,674.2729556,2595.19376,2303.036499,6412.847839
Fam64a,2547.976162,1.208125622,0.12079796,10.00120881,1.51E-23,2.54E-21,1198.42929,2763.968479,2163.331692,4532.818494,1300.714461,3328.594557
Aurkb,2027.319442,1.254876431,0.125491002,9.999732327,1.53E-23,2.55E-21,1012.466124,2474.260735,1556.957552,3299.539241,1051.862093,2768.830908
Igfbp4,15720.32648,-1.137090748,0.11463213,-9.919476782,3.43E-23,5.65E-21,14120.40947,5814.164729,25109.35904,12976.86835,25183.62924,11117.52803
Neto2,799.0093497,1.561224207,0.157623996,9.904736905,3.97E-23,6.47E-21,482.1267257,1170.140889,248.9623221,839.2775661,493.0963591,1560.452237
Prss35,1650.410532,-1.424164751,0.14380563,-9.903400545,4.02E-23,6.49E-21,2402.762172,1093.581485,1888.907315,668.3635923,2914.798571,934.0500576
Kif15,1425.298278,1.531346767,0.154766812,9.894542327,4.40E-23,7.02E-21,1087.244963,2660.439285,286.683886,1068.66211,932.0442862,2516.715137
Nusap1,2410.530973,1.481106073,0.150176974,9.862404587,6.06E-23,9.57E-21,1767.142039,4205.547254,614.8614923,2231.776679,1593.346413,4050.511962
Madcam1,137.7110876,4.907959979,0.498065651,9.854042268,6.58E-23,1.03E-20,4.919660466,48.71962065,13.20254738,527.1346771,4.608377187,227.6816431
Fancd2,1297.72985,1.343712735,0.136831818,9.820177457,9.22E-23,1.43E-20,751.7241192,1746.076404,638.4374698,1886.350542,816.8348565,1946.955709
Parp14,3784.030529,1.814301979,0.184890982,9.812820258,9.92E-23,1.52E-20,2180.393519,5364.378231,873.2542054,4502.233889,2199.348013,7584.575319
Myh11,20385.12158,-1.137469979,0.117105646,-9.713195038,2.65E-22,4.01E-20,39241.17974,20570.11983,20214.98612,8867.736598,23729.68623,9687.02093
Kif14,887.0863334,1.449734123,0.149283541,9.711279069,2.70E-22,4.05E-20,613.9736262,1446.798735,340.4371146,1082.155318,491.9442648,1347.208942
Kif11,3778.628831,1.435252942,0.147863869,9.706583174,2.83E-22,4.20E-20,3048.221625,6724.177643,723.3109887,2516.933151,2682.075523,6977.054057
Tnfsf13b,241.2797496,2.196025068,0.226487132,9.696025759,3.13E-22,4.61E-20,45.26087629,245.3380897,118.8229264,432.6822179,100.2322038,505.3421834
Bdkrb1,261.532552,3.56003751,0.367392111,9.690021641,3.32E-22,4.84E-20,3.935728373,98.30923453,143.341943,866.263983,24.19398023,433.1504429
Slc2a6,1242.469611,1.415955179,0.146388224,9.672603029,3.94E-22,5.69E-20,761.5634401,1686.916865,740.2856925,2046.469949,539.1801309,1680.40159
Ncapg,2056.184987,1.317731343,0.136267425,9.670186006,4.04E-22,5.77E-20,1638.246935,3534.782477,536.5892471,1595.796787,1464.311851,3567.382622
Traf3,5722.892539,1.010378189,0.104630498,9.656631731,4.61E-22,6.52E-20,3854.062009,7724.669853,3791.017177,7369.990459,3743.154371,7854.461364
Dhfr,1338.899225,1.178978626,0.12222201,9.646205475,5.10E-22,7.15E-20,878.6513592,1956.614765,758.2034353,1780.203969,826.0516109,1833.670208
Msc,171.4013224,3.256390235,0.338576032,9.617899465,6.72E-22,9.33E-20,48.21267257,281.8778052,44.32283764,404.7962537,11.52094297,237.6774225
Slamf8,253.2324965,3.875349201,0.403911836,9.594542303,8.43E-22,1.16E-19,44.27694419,221.8482726,20.74686017,677.3590646,26.49816883,528.6656688
Casc5,1739.260211,1.394017108,0.145365275,9.58975315,8.83E-22,1.20E-19,1420.797943,3098.045878,369.6713267,1180.205966,1198.178069,3168.662086
Sorcs1,491.534955,1.800859673,0.188962545,9.530246705,1.57E-21,2.12E-19,327.649387,869.1232327,158.4305686,638.6785337,190.095559,765.2324491
Gbp6,334.7321331,2.29463413,0.240855328,9.527022517,1.62E-21,2.17E-19,115.1200549,399.3268907,56.58234592,433.5817651,178.574616,825.2071258
Cdca5,892.5729889,1.379404631,0.144882842,9.52082809,1.72E-21,2.28E-19,393.5728373,1180.580808,661.0704082,1548.120784,447.0125872,1125.080509
Kif22,1721.606937,1.139370976,0.119929286,9.50035652,2.09E-21,2.75E-19,837.3262113,1922.685029,1436.248547,2958.610841,972.3675866,2202.403406
Ddx60,530.0665257,1.746457153,0.183900558,9.496747453,2.17E-21,2.82E-19,242.0472949,687.2946485,109.3925354,486.6550517,405.5371925,1249.472431
Kif18b,1863.246371,1.206414243,0.127043093,9.496102608,2.18E-21,2.82E-19,953.4301983,2299.392096,1466.425798,2988.2959,989.649001,2482.28523
Ncapg2,3398.961984,1.425855261,0.151038046,9.440371468,3.71E-21,4.76E-19,3111.193279,6498.849398,707.279324,2372.106047,2032.29434,5672.049518
Cyp7b1,548.750881,2.083200841,0.221587827,9.401242258,5.39E-21,6.86E-19,154.4773386,409.7668094,205.5825235,1102.844905,228.1146708,1191.719039
Dlgap5,2702.439115,1.16114594,0.123601834,9.394245253,5.76E-21,7.27E-19,1858.647724,3877.559808,1425.875117,3657.559039,1745.42286,3649.570142
Hist1h1d,5579.628661,1.099019834,0.117059594,9.388549882,6.08E-21,7.54E-19,2435.231931,5923.783875,5087.695937,9984.974259,3281.164557,6764.921404
Slfn2,2217.980864,1.155551163,0.123080322,9.388593889,6.08E-21,7.54E-19,487.0463861,1044.861864,2439.642148,5061.752266,1226.980426,3047.60209
Wdhd1,1590.151155,1.166494965,0.124268471,9.386894004,6.18E-21,7.60E-19,1026.241173,2171.503092,869.482049,2132.826484,1050.709999,2290.144137
Kif20a,6437.722459,0.955480476,0.102306555,9.339386677,9.69E-21,1.18E-18,3831.431571,7367.97263,5080.151625,9770.882018,4231.642352,8344.254558
Csmd1,1550.831818,1.685882179,0.18066978,9.331290354,1.05E-20,1.27E-18,1028.209037,2297.65211,608.2602186,2211.087093,617.5225431,2542.259907
Crym,211.2923468,2.918698857,0.313514096,9.309625619,1.28E-20,1.54E-18,73.79490699,332.3374123,66.01273691,502.8469018,18.43350875,274.3286138
Serpina3n,5558.525999,1.426584493,0.153451884,9.296624142,1.45E-20,1.73E-18,903.2496616,2387.261412,7138.805977,15037.73105,1750.031237,6134.076657
Top2a,16998.47751,1.368013809,0.147387614,9.281742027,1.67E-20,1.97E-18,12948.54635,27412.61656,3989.055387,13569.66997,12984.10273,31086.87409
Mcm6,8709.309014,0.963465685,0.104012693,9.262962618,1.99E-20,2.33E-18,5581.846765,10265.92007,6440.957044,12923.79506,5663.695563,11379.63958
Hells,1587.480368,1.146859647,0.12406961,9.243678992,2.38E-20,2.77E-18,1401.119301,2899.687422,393.2473041,868.0630774,1172.831994,2789.933109
Clspn,1448.139083,1.599666471,0.173209259,9.235455877,2.57E-20,2.97E-18,1195.477493,2703.068953,381.930835,1545.422142,701.6254268,2161.309646
Mki67,13888.40966,1.479914408,0.160419494,9.225277853,2.83E-20,3.24E-18,13527.09842,30059.13595,2047.337883,7969.088915,8436.786536,21291.01023
C330027C09Rik,2007.107665,1.186935014,0.12913377,9.191515213,3.87E-20,4.40E-18,1847.824471,3878.429801,451.7157283,1195.498269,1482.74536,3186.432361
Cdk6,1808.344647,1.080898256,0.117830935,9.173297778,4.59E-20,5.15E-18,1320.436869,2676.099163,867.5959708,1939.423829,1308.779121,2737.732928
Tk1,3401.049737,1.139716676,0.124245658,9.173090552,4.60E-20,5.15E-18,1795.67607,3902.789612,2851.750234,5560.101432,1783.441972,4512.539101
Tgfb3,25886.19365,-1.066497008,0.116488013,-9.155422797,5.41E-20,6.02E-18,48564.92026,26841.901,23817.39548,10698.31521,31560.47117,13834.15876
Rrm2,5496.084247,1.030164449,0.112578706,9.150615459,5.66E-20,6.25E-18,3316.835086,7307.943098,4017.34656,7427.561482,3527.712737,7379.106519
Ifi205,258.5959667,2.061379679,0.225550166,9.139340131,6.28E-20,6.88E-18,115.1200549,363.6571684,59.41146322,301.3483222,126.7303727,585.308419
Id4,1095.953788,-1.246065281,0.136781728,-9.109881134,8.25E-20,8.97E-18,1872.422773,815.1836527,1251.412884,464.1663709,1485.049549,687.4874978
Rhbdl2,170.6200953,2.229811467,0.244936299,9.103638262,8.74E-20,9.43E-18,50.18053675,277.5278391,75.44312789,322.0379085,55.30052625,243.2306333
Racgap1,4629.117311,0.951910885,0.104591891,9.101192029,8.93E-20,9.58E-18,2879.969237,5694.105664,3563.744754,6796.079326,3027.703812,5813.101072
Dtl,1476.260368,1.22049521,0.134262908,9.090337962,9.87E-20,1.05E-17,1101.020012,2288.952177,596.0007104,1604.792259,998.8657554,2267.931293
Tnn,317.6243258,1.683183199,0.185245721,9.086219072,1.03E-19,1.08E-17,154.4773386,458.4864301,194.2660543,644.9753643,103.6884867,349.8522808
Adamts14,1396.331442,1.529985392,0.168445057,9.082993679,1.06E-19,1.10E-17,915.0568467,1955.744772,635.6083525,2285.749513,624.4351089,1961.394057
Spdl1,974.1432438,1.47747824,0.162665381,9.082929808,1.06E-19,1.10E-17,683.8328048,1537.27803,378.1586786,1264.763406,509.2256792,1471.600864
Gm12250,237.4042739,2.823816793,0.31121273,9.073590254,1.15E-19,1.19E-17,42.30908001,170.5186723,74.5000888,485.7555045,44.93167758,606.41062
Sohlh2,103.9721963,5.034559162,0.555035499,9.070697589,1.18E-19,1.22E-17,0.983932093,131.3689771,5.658234592,284.2569248,14.97722586,186.5878831
Adtrp,168.6971031,2.56133466,0.282712895,9.059843761,1.31E-19,1.33E-17,39.35728373,265.3479339,37.72156395,290.5537555,74.8861293,304.3159522
Abcb1b,3455.917332,1.551710152,0.171924838,9.025514714,1.79E-19,1.81E-17,2035.755501,4145.517722,1564.501865,5750.805445,1660.167882,5578.755576
Gm15987,140.7987008,3.793618756,0.421723288,8.9955164,2.35E-19,2.37E-17,14.7589814,139.1989161,27.34813386,222.1881659,10.36884867,430.9291586
Foxm1,2208.225111,1.098611307,0.122374259,8.977470569,2.77E-19,2.77E-17,1270.256332,2864.887693,1658.805775,3187.995385,1305.322838,2962.082644
Slfn9,1646.477113,1.472322055,0.164658797,8.941654408,3.83E-19,3.81E-17,1405.055029,3233.764821,264.9939867,1009.291993,1132.508694,2833.248153
Rasl12,2501.610585,-0.995834176,0.111418003,-8.937821081,3.97E-19,3.92E-17,5337.831606,2743.088641,2223.686195,1092.050338,2410.181269,1202.825461
Ticrr,648.4447692,1.281187889,0.143363213,8.936657186,4.01E-19,3.93E-17,374.8781275,934.3727247,347.0383883,835.6793771,412.4497583,986.2502392
Incenp,2140.011334,1.039299757,0.11632128,8.934734497,4.08E-19,3.98E-17,1282.063517,2777.018377,1678.609596,3241.068671,1254.630689,2606.677152
Il27ra,761.4433363,1.378705365,0.154512079,8.922961693,4.54E-19,4.38E-17,305.0189489,787.3438695,573.367772,1288.151634,398.6246267,1216.153167
Mcm10,1223.438378,1.249525381,0.140038725,8.9227132,4.55E-19,4.38E-17,654.314842,1531.188078,940.2099814,1961.012962,597.9369401,1655.967462
Adra1d,2117.495309,-1.294741907,0.145153175,-8.919831788,4.67E-19,4.46E-17,3895.387157,1960.094738,1903.052901,644.9753643,3085.308527,1216.153167
